frame,plate_text,confidence,x,y,width,height
900,OUTA,0.7020931243896484,1207,2002,172,67
915,DoZ cLX,0.8352714776992798,2694,1970,206,56
915,EYO9U5,0.7803841233253479,2411,1438,165,56
915,Teo TUA,0.7774698734283447,1145,2124,198,63
930,DAOZ CLX,0.765913724899292,2737,2079,217,56
930,EYOSMS,0.762333869934082,2407,1501,172,56
930,No Text Detected,0.6081303358078003,2456,982,105,45
945,EYOgWus,0.8023862242698669,2403,1565,180,56
960,EYOSWS,0.7883226871490479,2401,1638,183,60
960,KBY,0.5620627999305725,1288,2094,138,71
975,EYO9Ms,0.7818337678909302,2407,1723,195,56
975,No Text Detected,0.454886794090271,2428,1083,116,52
990,EYOqus,0.8237218856811523,2433,1813,195,63
990,No Text Detected,0.4740631580352783,1196,1314,112,56
1005,EYO9WS,0.8229478597640991,2467,1916,210,60
1005,No Text Detected,0.45096537470817566,1265,1410,108,52
1005,No Text Detected,0.41018441319465637,1125,1413,120,52
1020,EYO9VS,0.7809825539588928,2503,2026,213,63
1020,No Text Detected,0.4043532907962799,46,881,86,37
1035,No Text Detected,0.7151411771774292,2544,2139,221,41
1050,No Text Detected,0.519140362739563,900,1820,165,71
1065,No Text Detected,0.5006975531578064,2480,1423,138,56
1110,BPBOLYH,0.6825337409973145,2456,1661,172,60
1125,BP6 LYH,0.7738000154495239,2493,1740,195,60
1140,BPG LYH,0.7701815366744995,2525,1824,213,63
1155,[BPEJLYH,0.8066948652267456,2559,1916,213,67
1170,BPBTMH,0.8137619495391846,2596,2017,221,67
1185,BP6J LYH,0.8080155253410339,2638,2128,228,63
1185,LP,0.4387635588645935,1158,2036,142,67
1200,[CE5261,0.5619509816169739,2394,1537,131,52
1200,No Text Detected,0.424385130405426,1072,2143,210,33
1215,0g6s Ze3,0.7130608558654785,2401,1595,161,56
1230,Wg6s ZeX,0.7531945109367371,2416,1661,183,52
1245,0g65 ZFX,0.7757810950279236,2439,1736,183,60
1260,0g65 ZFX,0.7913032174110413,2465,1818,191,60
1260,No Text Detected,0.4449278712272644,33,900,67,60
1275,Lgss ZFX,0.7957553863525391,2491,1910,198,56
1290,Lge5 ZFX,0.8091654777526855,2527,2010,202,60
1305,Lg6s ZfX,0.825966477394104,2563,2113,213,63
1305,[640D,0.5767596960067749,1350,1396,150,56
1320,[6406a,0.7076156139373779,1325,1462,168,60
1320,QD,0.5173184871673584,1138,1854,198,63
1335,M64oG,0.7935354113578796,1295,1533,183,60
1335,LLGI PZS,0.7360014915466309,1080,2011,232,71
1335,LPI,0.6486186981201172,2422,1567,112,52
1350,NL640GD,0.7243124842643738,1263,1612,187,60
1350,No Text Detected,0.6847925186157227,1031,2137,247,45
1350,LPI,0.6592186689376831,2446,1620,131,52
1365,MG4oGO,0.7943712472915649,1228,1700,191,63
1365,LPH,0.6666020750999451,2488,1678,168,56
1365,6ros V,0.6612141132354736,2786,2073,172,52
1365,No Text Detected,0.47093281149864197,54,875,78,56
1380,[LG4oGX,0.7591180205345154,1190,1790,206,63
